id,topic,payload,timestamp
1,v3/sensors-openlab@ttn/devices/eui-24e124128c147204/up,"{""end_device_ids"": {""device_id"": ""eui-24e124128c147204"", ""application_ids"": {""application_id"": ""sensors-openlab""}, ""dev_eui"": ""24E124128C147204"", ""join_eui"": ""24E124C0002A0001"", ""dev_addr"": ""260B31B3""}, ""correlation_ids"": [""gs:uplink:01HYJ40ACDXGCJM2MS08M800F4""], ""received_at"": ""2024-05-23T07:00:19.678981828Z"", ""uplink_message"": {""session_key_id"": ""AY58dG5gIcXQKX+SHYLbBQ=="", ""f_port"": 85, ""f_cnt"": 8346, ""frm_payload"": ""A2fcAARogAZlCAAIAAIABWoHAAd9xQMIfZAACXPXJg=="", ""decoded_payload"": {""activity"": 7, ""co2"": 965, ""humidity"": 64, ""illumination"": 8, ""infrared"": 2, ""infrared_and_visible"": 8, ""pressure"": 994.3, ""temperature"": 22, ""tvoc"": 144}, ""rx_metadata"": [{""gateway_ids"": {""gateway_id"": ""openlabs-cephis-gw1"", ""eui"": ""FCC23DFFFE0AB30E""}, ""time"": ""2024-05-23T07:00:55.975090026Z"", ""timestamp"": 343502044, ""rssi"": -110, ""channel_rssi"": -110, ""snr"": -6.5, ""location"": {""latitude"": 41.500425927352076, ""longitude"": 2.111405432224274, ""altitude"": 152, ""source"": ""SOURCE_REGISTRY""}, ""uplink_token"": ""CiEKHwoTb3BlbmxhYnMtY2VwaGlzLWd3MRII/MI9//4Ksw4Q3NnlowEaDAiD07uyBhC+0OHfASDg9sTS//SDAQ=="", ""received_at"": ""2024-05-23T07:00:19.449343890Z""}], ""settings"": {""data_rate"": {""lora"": {""bandwidth"": 125000, ""spreading_factor"": 8, ""coding_rate"": ""4/5""}}, ""frequency"": ""868300000"", ""timestamp"": 343502044, ""time"": ""2024-05-23T07:00:55.975090026Z""}, ""received_at"": ""2024-05-23T07:00:19.470801704Z"", ""consumed_airtime"": ""0.164352s"", ""network_ids"": {""net_id"": ""000013"", ""ns_id"": ""EC656E0000000181"", ""tenant_id"": ""ttn"", ""cluster_id"": ""eu1"", ""cluster_address"": ""eu1.cloud.thethings.network""}}}",2024-05-23 07:00:19
2,v3/sensors-openlab@ttn/devices/am3019-testqc2090/up,"{""end_device_ids"": {""device_id"": ""am3019-testqc2090"", ""application_ids"": {""application_id"": ""sensors-openlab""}, ""dev_eui"": ""24E124710C409707"", ""join_eui"": ""24E124C0002A0001"", ""dev_addr"": ""260B5185""}, ""correlation_ids"": [""gs:uplink:01HYJ410QTWMK9DHMBEHH08X0A""], ""received_at"": ""2024-05-23T07:00:42.574344744Z"", ""uplink_message"": {""session_key_id"": ""AY8hdRVlEBGORKzEZVWHOg=="", ""f_cnt"": 4845, ""rx_metadata"": [{""gateway_ids"": {""gateway_id"": ""openlabs-cephis-gw1"", ""eui"": ""FCC23DFFFE0AB30E""}, ""time"": ""2024-05-23T07:01:18.868921995Z"", ""timestamp"": 366400819, ""rssi"": -76, ""channel_rssi"": -76, ""snr"": 7, ""location"": {""latitude"": 41.500425927352076, ""longitude"": 2.111405432224274, ""altitude"": 152, ""source"": ""SOURCE_REGISTRY""}, ""uplink_token"": ""CiEKHwoTb3BlbmxhYnMtY2VwaGlzLWd3MRII/MI9//4Ksw4Qs6rbrgEaDAia07uyBhCBhMKsASC4nsP51PWDAQ=="", ""received_at"": ""2024-05-23T07:00:42.337510153Z""}], ""settings"": {""data_rate"": {""lora"": {""bandwidth"": 125000, ""spreading_factor"": 7, ""coding_rate"": ""4/5""}}, ""frequency"": ""868500000"", ""timestamp"": 366400819, ""time"": ""2024-05-23T07:01:18.868921995Z""}, ""received_at"": ""2024-05-23T07:00:42.364253906Z"", ""consumed_airtime"": ""0.046336s"", ""network_ids"": {""net_id"": ""000013"", ""ns_id"": ""EC656E0000000181"", ""tenant_id"": ""ttn"", ""cluster_id"": ""eu1"", ""cluster_address"": ""eu1.cloud.thethings.network""}}}",2024-05-23 07:00:42
3,v3/sensors-openlab@ttn/devices/am307-9074/up,"{""end_device_ids"": {""device_id"": ""am307-9074"", ""application_ids"": {""application_id"": ""sensors-openlab""}, ""dev_eui"": ""24E124707C409074"", ""join_eui"": ""24E124C0002A0001"", ""dev_addr"": ""260B4142""}, ""correlation_ids"": [""gs:uplink:01HYJ420147QVJM6YBQRF6817F""], ""received_at"": ""2024-05-23T07:01:14.611511974Z"", ""uplink_message"": {""session_key_id"": ""AY8pSuYy6wDCVolyhgWCwg=="", ""f_port"": 85, ""f_cnt"": 4558, ""frm_payload"": ""A2fkAARoZgUAAAbLAAd9KAIIfWQACXNLJwF1OA=="", ""decoded_payload"": {""battery"": 56, ""co2"": 552, ""humidity"": 51, ""light_level"": 0, ""pir"": ""idle"", ""pressure"": 1005.9, ""temperature"": 22.8, ""tvoc"": 100}, ""rx_metadata"": [{""gateway_ids"": {""gateway_id"": ""openlabs-cephis-gw1"", ""eui"": ""FCC23DFFFE0AB30E""}, ""time"": ""2024-05-23T07:01:50.920171022Z"", ""timestamp"": 398429851, ""rssi"": -91, ""channel_rssi"": -91, ""snr"": 7.5, ""location"": {""latitude"": 41.500425927352076, ""longitude"": 2.111405432224274, ""altitude"": 152, ""source"": ""SOURCE_REGISTRY""}, ""uplink_token"": ""CiEKHwoTb3BlbmxhYnMtY2VwaGlzLWd3MRII/MI9//4Ksw4Qm53+vQEaDAi607uyBhD60vbAASD4mpSizPaDAQ=="", ""received_at"": ""2024-05-23T07:01:14.379799364Z""}], ""settings"": {""data_rate"": {""lora"": {""bandwidth"": 125000, ""spreading_factor"": 7, ""coding_rate"": ""4/5""}}, ""frequency"": ""867100000"", ""timestamp"": 398429851, ""time"": ""2024-05-23T07:01:50.920171022Z""}, ""received_at"": ""2024-05-23T07:01:14.405466933Z"", ""consumed_airtime"": ""0.087296s"", ""network_ids"": {""net_id"": ""000013"", ""ns_id"": ""EC656E0000000181"", ""tenant_id"": ""ttn"", ""cluster_id"": ""eu1"", ""cluster_address"": ""eu1.cloud.thethings.network""}}}",2024-05-23 07:01:14
4,v3/sensors-openlab@ttn/devices/am3019-testqc2090/up,"{""end_device_ids"": {""device_id"": ""am3019-testqc2090"", ""application_ids"": {""application_id"": ""sensors-openlab""}, ""dev_eui"": ""24E124710C409707"", ""join_eui"": ""24E124C0002A0001"", ""dev_addr"": ""260B5185""}, ""correlation_ids"": [""gs:uplink:01HYJ43KT9M3H9DA6NKK26Q1GY""], ""received_at"": ""2024-05-23T07:02:07.637473245Z"", ""uplink_message"": {""session_key_id"": ""AY8hdRVlEBGORKzEZVWHOg=="", ""f_port"": 85, ""f_cnt"": 4846, ""frm_payload"": ""A2cBAQRoVQUAAAbLAgd9LAIIfWQACXM+Jwt9DAAMfQwADX0IAA=="", ""decoded_payload"": {""co2"": 556, ""humidity"": 42.5, ""light_level"": 2, ""o3"": 0.08, ""pir"": ""idle"", ""pm10"": 12, ""pm2_5"": 12, ""pressure"": 1004.6, ""temperature"": 25.7, ""tvoc"": 100}, ""rx_metadata"": [{""gateway_ids"": {""gateway_id"": ""openlabs-cephis-gw1"", ""eui"": ""FCC23DFFFE0AB30E""}, ""time"": ""2024-05-23T07:02:43.957139015Z"", ""timestamp"": 451472467, ""rssi"": -81, ""channel_rssi"": -81, ""snr"": 9.25, ""location"": {""latitude"": 41.500425927352076, ""longitude"": 2.111405432224274, ""altitude"": 152, ""source"": ""SOURCE_REGISTRY""}, ""uplink_token"": ""CiEKHwoTb3BlbmxhYnMtY2VwaGlzLWd3MRII/MI9//4Ksw4Q09ij1wEaDAjv07uyBhDzvMPOASC4yOzukfiDAQ=="", ""received_at"": ""2024-05-23T07:02:07.408321085Z""}], ""settings"": {""data_rate"": {""lora"": {""bandwidth"": 125000, ""spreading_factor"": 7, ""coding_rate"": ""4/5""}}, ""frequency"": ""867300000"", ""timestamp"": 451472467, ""time"": ""2024-05-23T07:02:43.957139015Z""}, ""received_at"": ""2024-05-23T07:02:07.433890881Z"", ""consumed_airtime"": ""0.097536s"", ""network_ids"": {""net_id"": ""000013"", ""ns_id"": ""EC656E0000000181"", ""tenant_id"": ""ttn"", ""cluster_id"": ""eu1"", ""cluster_address"": ""eu1.cloud.thethings.network""}}}",2024-05-23 07:02:07
5,v3/sensors-openlab@ttn/devices/q4-1003-7456/up,"{""end_device_ids"": {""device_id"": ""q4-1003-7456"", ""application_ids"": {""application_id"": ""sensors-openlab""}, ""dev_eui"": ""24E124128C147456"", ""join_eui"": ""24E124C0002A0001"", ""dev_addr"": ""260BBE81""}, ""correlation_ids"": [""gs:uplink:01HYJ45RX162XK17PM98C5KVA7""], ""received_at"": ""2024-05-23T07:03:18.385437150Z"", ""uplink_message"": {""session_key_id"": ""AY58bbuPeD1HJ7rVVxa1XQ=="", ""f_port"": 85, ""f_cnt"": 8407, ""frm_payload"": ""A2f0AARoYQZlXgBmAB4ABWoAAAd9FwIIfVsDCXPmJg=="", ""decoded_payload"": {""activity"": 0, ""co2"": 535, ""humidity"": 48.5, ""illumination"": 94, ""infrared"": 30, ""infrared_and_visible"": 102, ""pressure"": 995.8, ""temperature"": 24.4, ""tvoc"": 859}, ""rx_metadata"": [{""gateway_ids"": {""gateway_id"": ""openlabs-cephis-gw1"", ""eui"": ""FCC23DFFFE0AB30E""}, ""time"": ""2024-05-23T07:03:54.713241100Z"", ""timestamp"": 522218275, ""rssi"": -96, ""channel_rssi"": -96, ""snr"": 8.25, ""location"": {""latitude"": 41.500425927352076, ""longitude"": 2.111405432224274, ""altitude"": 152, ""source"": ""SOURCE_REGISTRY""}, ""uplink_token"": ""CiEKHwoTb3BlbmxhYnMtY2VwaGlzLWd3MRII/MI9//4Ksw4Qo9aB+QEaCwi21LuyBhCfvKhUILiBirWZ+oMB"", ""received_at"": ""2024-05-23T07:03:18.154656265Z""}], ""settings"": {""data_rate"": {""lora"": {""bandwidth"": 125000, ""spreading_factor"": 7, ""coding_rate"": ""4/5""}}, ""frequency"": ""867100000"", ""timestamp"": 522218275, ""time"": ""2024-05-23T07:03:54.713241100Z""}, ""received_at"": ""2024-05-23T07:03:18.177862774Z"", ""consumed_airtime"": ""0.092416s"", ""network_ids"": {""net_id"": ""000013"", ""ns_id"": ""EC656E0000000181"", ""tenant_id"": ""ttn"", ""cluster_id"": ""eu1"", ""cluster_address"": ""eu1.cloud.thethings.network""}}}",2024-05-23 07:03:18
6,v3/sensors-openlab@ttn/devices/eui-24e124128c147500/up,"{""end_device_ids"": {""device_id"": ""eui-24e124128c147500"", ""application_ids"": {""application_id"": ""sensors-openlab""}, ""dev_eui"": ""24E124128C147500"", ""join_eui"": ""24E124C0002A0001"", ""dev_addr"": ""260B1914""}, ""correlation_ids"": [""gs:uplink:01HYJ46R2QKDYM73YHCS86MFQQ""], ""received_at"": ""2024-05-23T07:03:50.307342812Z"", ""uplink_message"": {""session_key_id"": ""AY5wxgajO4DyAm9jmGa6bw=="", ""f_port"": 85, ""f_cnt"": 8646, ""frm_payload"": ""A2faAARoaQZlVwF8AXIABWrEAAd9LQIIfcUACXPqJg=="", ""decoded_payload"": {""activity"": 196, ""co2"": 557, ""humidity"": 52.5, ""illumination"": 343, ""infrared"": 114, ""infrared_and_visible"": 380, ""pressure"": 996.2, ""temperature"": 21.8, ""tvoc"": 197}, ""rx_metadata"": [{""gateway_ids"": {""gateway_id"": ""openlabs-cephis-gw1"", ""eui"": ""FCC23DFFFE0AB30E""}, ""time"": ""2024-05-23T07:04:26.643657922Z"", ""timestamp"": 554137308, ""rssi"": -97, ""channel_rssi"": -97, ""snr"": 9.5, ""location"": {""latitude"": 41.500425927352076, ""longitude"": 2.111405432224274, ""altitude"": 152, ""source"": ""SOURCE_REGISTRY""}, ""uplink_token"": ""CiEKHwoTb3BlbmxhYnMtY2VwaGlzLWd3MRII/MI9//4Ksw4Q3O2diAIaCwjW1LuyBhCn5Z8xIOCWoamQ+4MB"", ""received_at"": ""2024-05-23T07:03:50.081113745Z""}], ""settings"": {""data_rate"": {""lora"": {""bandwidth"": 125000, ""spreading_factor"": 7, ""coding_rate"": ""4/5""}}, ""frequency"": ""867900000"", ""timestamp"": 554137308, ""time"": ""2024-05-23T07:04:26.643657922Z""}, ""received_at"": ""2024-05-23T07:03:50.104141862Z"", ""consumed_airtime"": ""0.092416s"", ""network_ids"": {""net_id"": ""000013"", ""ns_id"": ""EC656E0000000181"", ""tenant_id"": ""ttn"", ""cluster_id"": ""eu1"", ""cluster_address"": ""eu1.cloud.thethings.network""}}}",2024-05-23 07:03:50
7,v3/sensors-openlab@ttn/devices/am307-9074/up,"{""end_device_ids"": {""device_id"": ""am307-9074"", ""application_ids"": {""application_id"": ""sensors-openlab""}, ""dev_eui"": ""24E124707C409074"", ""join_eui"": ""24E124C0002A0001"", ""dev_addr"": ""260B4142""}, ""correlation_ids"": [""gs:uplink:01HYJ4A986Y95SC0PSYW8JH9AT""], ""received_at"": ""2024-05-23T07:05:46.195723764Z"", ""uplink_message"": {""session_key_id"": ""AY8pSuYy6wDCVolyhgWCwg=="", ""f_cnt"": 4559, ""rx_metadata"": [{""gateway_ids"": {""gateway_id"": ""openlabs-cephis-gw1"", ""eui"": ""FCC23DFFFE0AB30E""}, ""time"": ""2024-05-23T07:06:22.545465946Z"", ""timestamp"": 670015019, ""rssi"": -92, ""channel_rssi"": -92, ""snr"": 8.25, ""location"": {""latitude"": 41.500425927352076, ""longitude"": 2.111405432224274, ""altitude"": 152, ""source"": ""SOURCE_REGISTRY""}, ""uplink_token"": ""CiEKHwoTb3BlbmxhYnMtY2VwaGlzLWd3MRII/MI9//4Ksw4Qq7y+vwIaDAjJ1buyBhDn9Z3YAyD4r4eAwP6DAQ=="", ""received_at"": ""2024-05-23T07:05:45.966428194Z""}], ""settings"": {""data_rate"": {""lora"": {""bandwidth"": 125000, ""spreading_factor"": 7, ""coding_rate"": ""4/5""}}, ""frequency"": ""868300000"", ""timestamp"": 670015019, ""time"": ""2024-05-23T07:06:22.545465946Z""}, ""received_at"": ""2024-05-23T07:05:45.991134787Z"", ""consumed_airtime"": ""0.046336s"", ""network_ids"": {""net_id"": ""000013"", ""ns_id"": ""EC656E0000000181"", ""tenant_id"": ""ttn"", ""cluster_id"": ""eu1"", ""cluster_address"": ""eu1.cloud.thethings.network""}}}",2024-05-23 07:05:46
8,v3/sensors-openlab@ttn/devices/eui-24e124710c408089/up,"{""end_device_ids"": {""device_id"": ""eui-24e124710c408089"", ""application_ids"": {""application_id"": ""sensors-openlab""}, ""dev_eui"": ""24E124710C408089"", ""join_eui"": ""24E124C0002A0001"", ""dev_addr"": ""260B2848""}, ""correlation_ids"": [""gs:uplink:01HYJ4EK5ZDWXZ1VEBXXW8RWBS""], ""received_at"": ""2024-05-23T07:08:07.439711210Z"", ""uplink_message"": {""session_key_id"": ""AY7xshtuMWcxlECmE7u0Rg=="", ""f_port"": 85, ""f_cnt"": 6633, ""frm_payload"": ""A2fQAARobwUAAAbLAQd9AwIIff0ACXNJJwt9FQAMfRUADX0VAA=="", ""decoded_payload"": {""co2"": 515, ""humidity"": 55.5, ""light_level"": 1, ""o3"": 0.21, ""pir"": ""idle"", ""pm10"": 21, ""pm2_5"": 21, ""pressure"": 1005.7, ""temperature"": 20.8, ""tvoc"": 253}, ""rx_metadata"": [{""gateway_ids"": {""gateway_id"": ""openlabs-cephis-gw1"", ""eui"": ""FCC23DFFFE0AB30E""}, ""time"": ""2024-05-23T07:08:43.782738924Z"", ""timestamp"": 811255844, ""rssi"": -83, ""channel_rssi"": -83, ""snr"": 11.5, ""location"": {""latitude"": 41.500425927352076, ""longitude"": 2.111405432224274, ""altitude"": 152, ""source"": ""SOURCE_REGISTRY""}, ""uplink_token"": ""CiEKHwoTb3BlbmxhYnMtY2VwaGlzLWd3MRII/MI9//4Ksw4QpJDrggMaCwjX1ruyBhDn3IZuIKCZ95TOgoQB"", ""received_at"": ""2024-05-23T07:08:07.205218931Z""}, {""gateway_ids"": {""gateway_id"": ""openlabs-cephis-gw2"", ""eui"": ""FCC23DFFFE0A7159""}, ""time"": ""2024-05-23T07:08:44.300883054Z"", ""timestamp"": 835831588, ""rssi"": -112, ""channel_rssi"": -112, ""snr"": 0.5, ""location"": {""latitude"": 41.50381268459182, ""longitude"": 2.0986059308052067, ""altitude"": 180, ""source"": ""SOURCE_REGISTRY""}, ""uplink_token"": ""CiEKHwoTb3BlbmxhYnMtY2VwaGlzLWd3MhII/MI9//4KcVkQpI7HjgMaCwjX1ruyBhCEt5VuIKDJx9upg4QB"", ""received_at"": ""2024-05-23T07:08:07.208712255Z""}], ""settings"": {""data_rate"": {""lora"": {""bandwidth"": 125000, ""spreading_factor"": 8, ""coding_rate"": ""4/5""}}, ""frequency"": ""868100000"", ""timestamp"": 811255844, ""time"": ""2024-05-23T07:08:43.782738924Z""}, ""received_at"": ""2024-05-23T07:08:07.231847687Z"", ""consumed_airtime"": ""0.174592s"", ""network_ids"": {""net_id"": ""000013"", ""ns_id"": ""EC656E0000000181"", ""tenant_id"": ""ttn"", ""cluster_id"": ""eu1"", ""cluster_address"": ""eu1.cloud.thethings.network""}}}",2024-05-23 07:08:07
9,v3/sensors-openlab@ttn/devices/eui-24e124128c147446/up,"{""end_device_ids"": {""device_id"": ""eui-24e124128c147446"", ""application_ids"": {""application_id"": ""sensors-openlab""}, ""dev_eui"": ""24E124128C147446"", ""join_eui"": ""24E124C0002A0001"", ""dev_addr"": ""260B2EC3""}, ""correlation_ids"": [""gs:uplink:01HYJ4FXB9K06XFRMNX6J2PYKF""], ""received_at"": ""2024-05-23T07:08:50.617305230Z"", ""uplink_message"": {""session_key_id"": ""AY5yJkX4dLtSpPgzpIOJgg=="", ""f_port"": 85, ""f_cnt"": 8645, ""frm_payload"": ""A2foAARoZQZlQwA9AA8ABWogAAd92QIIfTkBCXPlJg=="", ""decoded_payload"": {""activity"": 32, ""co2"": 729, ""humidity"": 50.5, ""illumination"": 67, ""infrared"": 15, ""infrared_and_visible"": 61, ""pressure"": 995.7, ""temperature"": 23.2, ""tvoc"": 313}, ""rx_metadata"": [{""gateway_ids"": {""gateway_id"": ""openlabs-cephis-gw1"", ""eui"": ""FCC23DFFFE0AB30E""}, ""time"": ""2024-05-23T07:09:26.960227966Z"", ""timestamp"": 854434427, ""rssi"": -97, ""channel_rssi"": -97, ""snr"": 6.75, ""location"": {""latitude"": 41.500425927352076, ""longitude"": 2.111405432224274, ""altitude"": 152, ""source"": ""SOURCE_REGISTRY""}, ""uplink_token"": ""CiEKHwoTb3BlbmxhYnMtY2VwaGlzLWd3MRII/MI9//4Ksw4Q+8S2lwMaDAiC17uyBhCqxoXDASD44IqC74OEAQ=="", ""received_at"": ""2024-05-23T07:08:50.383421772Z""}], ""settings"": {""data_rate"": {""lora"": {""bandwidth"": 125000, ""spreading_factor"": 7, ""coding_rate"": ""4/5""}}, ""frequency"": ""868300000"", ""timestamp"": 854434427, ""time"": ""2024-05-23T07:09:26.960227966Z""}, ""received_at"": ""2024-05-23T07:08:50.409992174Z"", ""consumed_airtime"": ""0.092416s"", ""network_ids"": {""net_id"": ""000013"", ""ns_id"": ""EC656E0000000181"", ""tenant_id"": ""ttn"", ""cluster_id"": ""eu1"", ""cluster_address"": ""eu1.cloud.thethings.network""}}}",2024-05-23 07:08:50
10,v3/sensors-openlab@ttn/devices/eui-24e124725c461468/up,"{""end_device_ids"": {""device_id"": ""eui-24e124725c461468"", ""application_ids"": {""application_id"": ""sensors-openlab""}, ""dev_eui"": ""24E124725C461468"", ""join_eui"": ""24E124C0002A0001"", ""dev_addr"": ""260BD466""}, ""correlation_ids"": [""gs:uplink:01HYJ4GE817QPX2KPS6S4YHCFT""], ""received_at"": ""2024-05-23T07:09:07.918080Z"", ""uplink_message"": {""session_key_id"": ""AY33IyvceKWHaGgqOE/h8A=="", ""f_port"": 85, ""f_cnt"": 12146, ""frm_payload"": ""AXVCA2foAARofgd9vQQ="", ""decoded_payload"": {""battery"": 66, ""co2"": 1213, ""humidity"": 63, ""temperature"": 23.2}, ""rx_metadata"": [{""gateway_ids"": {""gateway_id"": ""openlabs-indoor"", ""eui"": ""24E124FFFEF5C2F8""}, ""time"": ""2024-05-23T07:09:07.973815917Z"", ""timestamp"": 878731663, ""rssi"": -49, ""channel_rssi"": -49, ""snr"": 14.25, ""uplink_token"": ""Ch0KGwoPb3BlbmxhYnMtaW5kb29yEggk4ST//vXC+BCPw4GjAxoMCJPXu7IGENaFhtQCIJit9MPJhIQB"", ""received_at"": ""2024-05-23T07:09:07.685177954Z""}], ""settings"": {""data_rate"": {""lora"": {""bandwidth"": 125000, ""spreading_factor"": 7, ""coding_rate"": ""4/5""}}, ""frequency"": ""867900000"", ""timestamp"": 878731663, ""time"": ""2024-05-23T07:09:07.973815917Z""}, ""received_at"": ""2024-05-23T07:09:07.714121852Z"", ""consumed_airtime"": ""0.066816s"", ""network_ids"": {""net_id"": ""000013"", ""ns_id"": ""EC656E0000000181"", ""tenant_id"": ""ttn"", ""cluster_id"": ""eu1"", ""cluster_address"": ""eu1.cloud.thethings.network""}}}",2024-05-23 07:09:07
11,v3/sensors-openlab@ttn/devices/eui-24e124128c147204/up,"{""end_device_ids"": {""device_id"": ""eui-24e124128c147204"", ""application_ids"": {""application_id"": ""sensors-openlab""}, ""dev_eui"": ""24E124128C147204"", ""join_eui"": ""24E124C0002A0001"", ""dev_addr"": ""260B31B3""}, ""correlation_ids"": [""gs:uplink:01HYJ4JM0ZTY5NFQYNPPH80NP0""], ""received_at"": ""2024-05-23T07:10:19.375650746Z"", ""uplink_message"": {""session_key_id"": ""AY58dG5gIcXQKX+SHYLbBQ=="", ""f_port"": 85, ""f_cnt"": 8347, ""frm_payload"": ""A2fcAARogAZlDQAMAAMABWoBAAd90QMIfZAACXPXJg=="", ""decoded_payload"": {""activity"": 1, ""co2"": 977, ""humidity"": 64, ""illumination"": 13, ""infrared"": 3, ""infrared_and_visible"": 12, ""pressure"": 994.3, ""temperature"": 22, ""tvoc"": 144}, ""rx_metadata"": [{""gateway_ids"": {""gateway_id"": ""openlabs-cephis-gw2"", ""eui"": ""FCC23DFFFE0A7159""}, ""time"": ""2024-05-23T07:10:56.236392021Z"", ""timestamp"": 967773212, ""rssi"": -109, ""channel_rssi"": -109, ""snr"": -8.25, ""location"": {""latitude"": 41.50381268459182, ""longitude"": 2.0986059308052067, ""altitude"": 180, ""source"": ""SOURCE_REGISTRY""}, ""uplink_token"": ""CiEKHwoTb3BlbmxhYnMtY2VwaGlzLWd3MhII/MI9//4KcVkQnJi8zQMaCwjb17uyBhDq/9FPIOCanZ6Vh4QB"", ""received_at"": ""2024-05-23T07:10:19.144443916Z""}, {""gateway_ids"": {""gateway_id"": ""openlabs-cephis-gw1"", ""eui"": ""FCC23DFFFE0AB30E""}, ""time"": ""2024-05-23T07:10:55.728599071Z"", ""timestamp"": 943197476, ""rssi"": -110, ""channel_rssi"": -110, ""snr"": -9.5, ""location"": {""latitude"": 41.500425927352076, ""longitude"": 2.111405432224274, ""altitude"": 152, ""source"": ""SOURCE_REGISTRY""}, ""uplink_token"": ""CiEKHwoTb3BlbmxhYnMtY2VwaGlzLWd3MRII/MI9//4Ksw4QpJrgwQMaCwjb17uyBhC4l65UIKCpzde5hoQB"", ""received_at"": ""2024-05-23T07:10:19.151234431Z""}], ""settings"": {""data_rate"": {""lora"": {""bandwidth"": 125000, ""spreading_factor"": 8, ""coding_rate"": ""4/5""}}, ""frequency"": ""868100000"", ""timestamp"": 967773212, ""time"": ""2024-05-23T07:10:56.236392021Z""}, ""received_at"": ""2024-05-23T07:10:19.168017782Z"", ""consumed_airtime"": ""0.164352s"", ""network_ids"": {""net_id"": ""000013"", ""ns_id"": ""EC656E0000000181"", ""tenant_id"": ""ttn"", ""cluster_id"": ""eu1"", ""cluster_address"": ""eu1.cloud.thethings.network""}}}",2024-05-23 07:10:19
12,v3/sensors-openlab@ttn/devices/am307-9074/up,"{""end_device_ids"": {""device_id"": ""am307-9074"", ""application_ids"": {""application_id"": ""sensors-openlab""}, ""dev_eui"": ""24E124707C409074"", ""join_eui"": ""24E124C0002A0001"", ""dev_addr"": ""260B4142""}, ""correlation_ids"": [""gs:uplink:01HYJ4M9S7CDW40XS8397P352X""], ""received_at"": ""2024-05-23T07:11:14.422187216Z"", ""uplink_message"": {""session_key_id"": ""AY8pSuYy6wDCVolyhgWCwg=="", ""f_port"": 85, ""f_cnt"": 4560, ""frm_payload"": ""A2fkAARoZgUAAAbLAAd9NwIIfWQACXNLJwF1OA=="", ""decoded_payload"": {""battery"": 56, ""co2"": 567, ""humidity"": 51, ""light_level"": 0, ""pir"": ""idle"", ""pressure"": 1005.9, ""temperature"": 22.8, ""tvoc"": 100}, ""rx_metadata"": [{""gateway_ids"": {""gateway_id"": ""openlabs-cephis-gw1"", ""eui"": ""FCC23DFFFE0AB30E""}, ""time"": ""2024-05-23T07:11:50.764816999Z"", ""timestamp"": 998245276, ""rssi"": -93, ""channel_rssi"": -93, ""snr"": 6.5, ""location"": {""latitude"": 41.500425927352076, ""longitude"": 2.111405432224274, ""altitude"": 152, ""source"": ""SOURCE_REGISTRY""}, ""uplink_token"": ""CiEKHwoTb3BlbmxhYnMtY2VwaGlzLWd3MRII/MI9//4Ksw4QnIeA3AMaCwiS2LuyBhCdmdFmIOCyuOCGiIQB"", ""received_at"": ""2024-05-23T07:11:14.189478286Z""}], ""settings"": {""data_rate"": {""lora"": {""bandwidth"": 125000, ""spreading_factor"": 7, ""coding_rate"": ""4/5""}}, ""frequency"": ""867700000"", ""timestamp"": 998245276, ""time"": ""2024-05-23T07:11:50.764816999Z""}, ""received_at"": ""2024-05-23T07:11:14.216065103Z"", ""consumed_airtime"": ""0.087296s"", ""network_ids"": {""net_id"": ""000013"", ""ns_id"": ""EC656E0000000181"", ""tenant_id"": ""ttn"", ""cluster_id"": ""eu1"", ""cluster_address"": ""eu1.cloud.thethings.network""}}}",2024-05-23 07:11:14
